$1000 Damage to Any One Person's Property,Active School Zone Flag,At Intersection Flag,Average Daily Traffic Amount,Construction Zone Flag,Crash Severity,Crash Time,Crash Total Injury Count,Crash Year,Day of Week,Intersection Related,Roadway Part,Speed Limit,Surface Condition,Traffic Control Type,Person Helmet
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1737,2,2010,Wednesday,Intersection,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1136,1,2010,Monday,Intersection,Main/Proper Lane,30,Wet,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1136,1,2010,Monday,Intersection,Main/Proper Lane,30,Wet,Stop Sign,Not Worn
Yes,No,FALSE,124466,No,Incapacitating Injury,608,1,2010,Tuesday,Non Intersection,Service/Frontage Road,55,Wet,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1325,1,2010,Tuesday,Intersection,Main/Proper Lane,0,Dry,Stop Sign,"Worn, Unk Damage"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,2326,1,2010,Wednesday,Intersection Related,Main/Proper Lane,35,Dry,Marked Lanes,Not Worn
Yes,No,TRUE,20895,No,Non-Incapacitating Injury,2025,1,2010,Sunday,Intersection,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1140,1,2010,Sunday,Driveway Access,Main/Proper Lane,30,Dry,Center Stripe/Divider,Not Worn
No,No,FALSE,No Data,No,Possible Injury,2123,1,2010,Monday,Non Intersection,Main/Proper Lane,0,Unknown,None,Not Worn
No,No,TRUE,21351,No,Non-Incapacitating Injury,1753,1,2010,Wednesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,227,1,2010,Wednesday,Non Intersection,Main/Proper Lane,35,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1934,1,2010,Wednesday,Intersection,Main/Proper Lane,45,Dry,Signal Light,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Not Injured,1711,0,2010,Thursday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Possible Injury,2045,1,2010,Thursday,Intersection Related,Main/Proper Lane,30,Dry,Center Stripe/Divider,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1442,1,2010,Friday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Possible Injury,107,1,2010,Friday,Intersection,Main/Proper Lane,35,Dry,Officer,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1621,1,2010,Friday,Intersection,Main/Proper Lane,30,Dry,Signal Light,"Worn, Damaged"
Yes,No,FALSE,No Data,No,Incapacitating Injury,2129,1,2010,Friday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,FALSE,148494,No,Non-Incapacitating Injury,2115,1,2010,Saturday,Non Intersection,Service/Frontage Road,45,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1623,1,2010,Sunday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1112,1,2010,Thursday,Intersection Related,Main/Proper Lane,35,Dry,Marked Lanes,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1800,1,2010,Friday,Non Intersection,Other (Explain In Narrative),40,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Incapacitating Injury,1831,1,2010,Saturday,Intersection,Main/Proper Lane,35,Dry,Other (Explain In Narrative),Not Worn
Yes,No,TRUE,125081,No,Non-Incapacitating Injury,1903,1,2010,Monday,Intersection,Service/Frontage Road,0,Dry,Signal Light,Not Worn
No,No,TRUE,49417,No,Not Injured,1732,0,2010,Tuesday,Intersection,Other (Explain In Narrative),45,Dry,None,Not Worn
Yes,No,FALSE,22775,No,Incapacitating Injury,448,1,2010,Wednesday,Non Intersection,Main/Proper Lane,45,Dry,Marked Lanes,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,916,1,2010,Thursday,Driveway Access,Main/Proper Lane,40,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,104,1,2010,Friday,Non Intersection,Main/Proper Lane,30,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,104,1,2010,Friday,Non Intersection,Main/Proper Lane,30,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,949,1,2010,Friday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,106,1,2010,Sunday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Not Injured,837,0,2010,Monday,Intersection,Main/Proper Lane,30,Dry,Crosswalk,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1402,1,2010,Tuesday,Intersection,Main/Proper Lane,25,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,851,1,2010,Wednesday,Intersection,Main/Proper Lane,40,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,44197,No,Possible Injury,1359,1,2010,Wednesday,Non Intersection,Main/Proper Lane,60,Dry,None,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1722,1,2010,Thursday,Non Intersection,Main/Proper Lane,0,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Possible Injury,919,1,2010,Thursday,Intersection Related,Main/Proper Lane,0,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Incapacitating Injury,1643,1,2010,Friday,Intersection,Main/Proper Lane,0,Dry,Yield Sign,Not Worn
No,No,TRUE,197636,No,Incapacitating Injury,940,1,2010,Friday,Intersection,Main/Proper Lane,35,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1941,1,2010,Friday,Intersection,Main/Proper Lane,35,Dry,None,Not Worn
Yes,No,TRUE,No Data,No,Possible Injury,1154,1,2010,Saturday,Intersection Related,Main/Proper Lane,35,Dry,None,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1813,1,2010,Monday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1239,1,2010,Tuesday,Intersection,Main/Proper Lane,40,Dry,Signal Light,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1825,1,2010,Wednesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1300,1,2010,Friday,Driveway Access,Main/Proper Lane,35,Unknown,None,Unknown If Worn
Yes,No,FALSE,52925,No,Non-Incapacitating Injury,2120,1,2010,Friday,Intersection Related,Main/Proper Lane,45,Wet,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1627,1,2010,Sunday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Not Injured,1130,0,2010,Sunday,Intersection,Main/Proper Lane,45,Dry,Officer,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Possible Injury,1538,1,2010,Tuesday,Non Intersection,Main/Proper Lane,30,Dry,None,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1240,1,2010,Tuesday,Intersection,Main/Proper Lane,30,Dry,Bike Lane,Not Worn
No,No,FALSE,124047,No,Non-Incapacitating Injury,1650,1,2010,Thursday,Driveway Access,Service/Frontage Road,0,Wet,None,Not Worn
No,No,FALSE,164391,No,Incapacitating Injury,2205,1,2010,Friday,Intersection Related,Service/Frontage Road,40,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1736,1,2010,Friday,Driveway Access,Main/Proper Lane,35,Wet,Marked Lanes,Unknown If Worn
Yes,No,TRUE,No Data,No,Possible Injury,1545,1,2010,Monday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Possible Injury,2119,1,2010,Monday,Intersection,Main/Proper Lane,0,Dry,Signal Light,"Worn, Not Damaged"
Yes,No,FALSE,No Data,No,Possible Injury,1404,1,2010,Tuesday,Driveway Access,Main/Proper Lane,0,Dry,None,Not Worn
No,No,FALSE,No Data,No,Not Injured,1600,0,2010,Tuesday,Non Intersection,Main/Proper Lane,35,Dry,None,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,844,1,2010,Wednesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Unknown If Worn
No,No,TRUE,44197,No,Non-Incapacitating Injury,1337,1,2010,Friday,Intersection,Main/Proper Lane,0,Dry,Stop Sign,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1644,1,2010,Friday,Driveway Access,Service/Frontage Road,0,Dry,None,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1900,1,2010,Saturday,Non Intersection,Other (Explain In Narrative),0,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2042,1,2010,Monday,Intersection,Main/Proper Lane,40,Dry,Signal Light,Not Worn
Yes,No,FALSE,22775,No,Possible Injury,400,1,2010,Tuesday,Non Intersection,Main/Proper Lane,40,Dry,None,Not Worn
No,No,TRUE,29839,No,Possible Injury,1152,1,2010,Tuesday,Intersection,Main/Proper Lane,45,Dry,Signal Light With Red Light Running Camera,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1206,1,2010,Wednesday,Non Intersection,Other (Explain In Narrative),0,Dry,None,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1153,1,2010,Sunday,Non Intersection,Main/Proper Lane,30,Dry,Center Stripe/Divider,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1201,1,2010,Thursday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1851,1,2010,Wednesday,Non Intersection,Main/Proper Lane,35,Dry,None,Unknown If Worn
Yes,No,FALSE,44866,No,Not Injured,1455,0,2010,Saturday,Driveway Access,Main/Proper Lane,0,Dry,Stop Sign,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1927,1,2010,Monday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1629,1,2010,Tuesday,Driveway Access,Other (Explain In Narrative),0,Dry,Other (Explain In Narrative),"Worn, Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,2339,1,2010,Thursday,Non Intersection,Main/Proper Lane,45,Dry,None,Unknown If Worn
No,No,FALSE,No Data,No,Not Injured,2138,0,2010,Friday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,37,1,2010,Saturday,Non Intersection,Main/Proper Lane,30,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,307,1,2010,Sunday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1743,1,2010,Monday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1029,1,2010,Friday,Driveway Access,Main/Proper Lane,0,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1359,1,2010,Wednesday,Intersection,Main/Proper Lane,30,Wet,Stop Sign,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1256,1,2010,Wednesday,Intersection,Main/Proper Lane,35,Wet,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1051,1,2010,Friday,Non Intersection,Main/Proper Lane,45,Dry,Stop Sign,"Worn, Damaged"
Yes,No,FALSE,No Data,No,Incapacitating Injury,231,1,2010,Friday,Non Intersection,Main/Proper Lane,40,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,709,1,2010,Tuesday,Intersection Related,Main/Proper Lane,35,Dry,Stop Sign,Not Worn
Yes,No,TRUE,No Data,No,Incapacitating Injury,1929,1,2010,Tuesday,Intersection,Main/Proper Lane,30,Dry,None,"Worn, Damaged"
Yes,No,TRUE,No Data,No,Killed,2136,0,2010,Tuesday,Intersection,Main/Proper Lane,45,Dry,Signal Light,"Worn, Unk Damage"
No,No,TRUE,34215,No,Non-Incapacitating Injury,1642,1,2010,Thursday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1827,1,2010,Wednesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Damaged"
Yes,No,FALSE,No Data,No,Possible Injury,812,1,2010,Thursday,Non Intersection,Service/Frontage Road,45,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,939,1,2010,Thursday,Non Intersection,Main/Proper Lane,35,Dry,None,Not Worn
No,No,TRUE,22775,No,Non-Incapacitating Injury,1514,1,2010,Friday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Not Worn
No,No,TRUE,124047,No,Non-Incapacitating Injury,1915,1,2010,Friday,Intersection,Service/Frontage Road,0,Dry,Stop Sign,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,235,1,2010,Saturday,Intersection Related,Main/Proper Lane,45,Dry,Signal Light,Not Worn
No,No,TRUE,154266,No,Killed,940,0,2010,Monday,Intersection,Service/Frontage Road,0,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Incapacitating Injury,1922,1,2010,Tuesday,Intersection,Main/Proper Lane,0,Wet,None,Not Worn
No,No,TRUE,124527,No,Non-Incapacitating Injury,1052,1,2010,Tuesday,Intersection,Service/Frontage Road,55,Dry,Marked Lanes,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1920,1,2010,Wednesday,Driveway Access,Other (Explain In Narrative),25,Dry,None,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1203,1,2010,Friday,Non Intersection,Main/Proper Lane,40,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1040,1,2010,Saturday,Intersection,Main/Proper Lane,30,Dry,Signal Light,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,239,2,2010,Sunday,Non Intersection,Other (Explain In Narrative),35,Dry,None,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,239,2,2010,Sunday,Non Intersection,Other (Explain In Narrative),35,Dry,None,Not Worn
No,No,FALSE,No Data,No,Possible Injury,2349,1,2010,Sunday,Non Intersection,Main/Proper Lane,35,Dry,None,"Worn, Unk Damage"
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,854,1,2010,Tuesday,Driveway Access,Main/Proper Lane,35,Dry,None,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1217,1,2010,Tuesday,Intersection,Main/Proper Lane,40,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1255,1,2010,Thursday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,750,1,2010,Friday,Intersection,Main/Proper Lane,30,Dry,Signal Light,"Worn, Damaged"
No,No,TRUE,No Data,No,Incapacitating Injury,1324,1,2010,Friday,Intersection,Main/Proper Lane,40,Dry,Center Stripe/Divider,Not Worn
No,No,FALSE,54574,No,Non-Incapacitating Injury,2118,1,2010,Sunday,Non Intersection,Main/Proper Lane,0,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Possible Injury,2107,1,2010,Monday,Intersection,Main/Proper Lane,35,Dry,None,Not Worn
No,No,FALSE,No Data,No,Incapacitating Injury,1833,1,2010,Tuesday,Intersection Related,Main/Proper Lane,35,Dry,Bike Lane,Not Worn
No,No,FALSE,29304,No,Non-Incapacitating Injury,715,1,2010,Wednesday,Intersection Related,Main/Proper Lane,0,Dry,Stop Sign,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Possible Injury,1339,1,2010,Thursday,Intersection,Main/Proper Lane,35,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1339,1,2010,Monday,Non Intersection,Other (Explain In Narrative),0,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2250,1,2010,Monday,Intersection,Main/Proper Lane,0,Dry,Stop Sign,"Worn, Not Damaged"
Yes,No,TRUE,49417,No,Non-Incapacitating Injury,1449,1,2010,Tuesday,Intersection,Main/Proper Lane,50,Dry,Stop Sign,"Worn, Damaged"
No,No,TRUE,No Data,Yes,Non-Incapacitating Injury,1210,1,2010,Friday,Intersection,Main/Proper Lane,35,Dry,Stop Sign,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1727,1,2010,Saturday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Not Injured,253,0,2010,Sunday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1732,1,2010,Wednesday,Driveway Access,Main/Proper Lane,45,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1720,1,2010,Saturday,Driveway Access,Main/Proper Lane,35,Dry,Marked Lanes,Not Worn
Yes,No,TRUE,No Data,No,Not Injured,1737,0,2010,Saturday,Intersection,Main/Proper Lane,0,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,738,1,2010,Monday,Intersection Related,Main/Proper Lane,25,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,148,3,2010,Thursday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,148,3,2010,Thursday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,148,3,2010,Thursday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,854,2,2010,Friday,Intersection Related,Main/Proper Lane,30,Dry,Center Stripe/Divider,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,854,2,2010,Friday,Intersection Related,Main/Proper Lane,30,Dry,Center Stripe/Divider,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1720,1,2010,Friday,Intersection,Main/Proper Lane,35,Dry,Stop Sign,"Worn, Damaged"
No,No,FALSE,No Data,Yes,Possible Injury,225,1,2010,Friday,Non Intersection,Main/Proper Lane,35,Dry,None,"Worn, Not Damaged"
No,No,FALSE,22775,No,Incapacitating Injury,2055,1,2010,Friday,Non Intersection,Main/Proper Lane,45,Dry,Marked Lanes,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,725,1,2010,Saturday,Intersection Related,Main/Proper Lane,35,Dry,Stop Sign,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1140,1,2010,Saturday,Intersection,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,844,1,2010,Sunday,Intersection Related,Main/Proper Lane,0,Dry,None,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1427,1,2010,Monday,Driveway Access,Other (Explain In Narrative),0,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,2238,1,2010,Monday,Driveway Access,Other (Explain In Narrative),35,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1805,1,2010,Tuesday,Non Intersection,Main/Proper Lane,30,Dry,None,Not Worn
No,No,TRUE,44866,No,Incapacitating Injury,1742,1,2010,Thursday,Intersection,Other (Explain In Narrative),60,Dry,None,"Worn, Unk Damage"
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,2032,1,2010,Friday,Intersection Related,Main/Proper Lane,30,Dry,Center Stripe/Divider,"Worn, Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1200,1,2010,Saturday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,FALSE,14685,No,Incapacitating Injury,242,1,2010,Sunday,Non Intersection,Main/Proper Lane,0,Dry,None,"Worn, Not Damaged"
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,724,1,2010,Tuesday,Driveway Access,Main/Proper Lane,40,Dry,None,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1232,1,2010,Wednesday,Driveway Access,Main/Proper Lane,35,Dry,Center Stripe/Divider,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1245,1,2010,Tuesday,Driveway Access,Main/Proper Lane,35,Dry,None,Not Worn
Yes,No,TRUE,No Data,No,Incapacitating Injury,1830,1,2010,Tuesday,Intersection,Service/Frontage Road,0,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,750,1,2010,Friday,Intersection Related,Other (Explain In Narrative),30,Dry,Stop Sign,"Worn, Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1941,1,2010,Friday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1809,1,2010,Friday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,"Worn, Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1005,1,2010,Sunday,Intersection,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,2032,1,2010,Wednesday,Non Intersection,Other (Explain In Narrative),0,Dry,None,Unknown If Worn
No,No,FALSE,No Data,No,Possible Injury,1201,1,2010,Wednesday,Non Intersection,Other (Explain In Narrative),25,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1314,2,2010,Thursday,Driveway Access,Other (Explain In Narrative),0,Dry,None,Not Worn
